planTime,treeSize,pathCost,bestDistance
0,2,60,34
0,6,180,105
0,6,180,141
0,6,180,118
0,4,120,69
0,15,450,320
0,15,450,306
0,74,1380,648
0,36,900,566
0,3255,810,415
3,3141,1080,365
0,3210,780,400
0,20,600,379
0,16,450,288
0,14,390,248
0,5,150,90
0,25,690,443
0,3034,1230,476
0,3114,1020,440
0,38,570,340
0,15,450,319
0,12,360,346
0,10,300,214
0,7,210,125
0,10,300,194
0,8,240,155
0,5,150,76
0,11,330,215
0,10,300,183
0,6,180,111
4,2,60,35
0,26,780,523
0,28,840,596
0,24,720,538
0,14,420,376
0,10,300,254
0,5,150,97
0,22,660,443
0,18,510,304
0,12,360,246
0,9,270,182
0,8,240,165
0,7,210,142
0,6,180,101
0,4,120,62
0,4,120,39
0,3,90,35
0,2,60,31
0,1,30,23
0,39,1110,721
0,38,960,647
0,31,750,505
0,18,510,333
0,9,270,220
0,9,270,164
0,3,90,49
0,3,90,72
0,6,180,88
0,3148,270,92
0,10,300,190
0,8,240,159
0,8,240,156
0,8,240,154
0,8,240,154
0,8,240,154
0,7,210,155
0,7,210,158
0,7,210,162
0,6,180,166
0,7,210,172
0,8,240,179
0,8,240,186
0,8,240,195
